cod_rest,latitud,longitud,latitud_rest,longitud_rest,comision,canal,medio,nom_rest,fecha_trans,valor_trans
26,3.465128,-76.500496,3.465128,-76.500496,1699.0,rappi,Rappi,UNICO CALI,2023-05-01,11715.0
163,3.4126302,-76.5286968,3.4126302,-76.5286968,31.0,app,Ios,PASO ANCHO ,2023-05-01,282.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,1208.0,callcenter,CallCenter,CIUDAD CORDOBA,2023-05-01,12077.0
45,3.419646,-76.539767,3.419646,-76.539767,1192.0,callcenter,CallCenter,PALMETTO PLAZA,2023-05-01,11924.0
115,3.384993,-76.52411,3.384993,-76.52411,381.0,web,Web,CANEY,2023-05-01,3807.0
27,3.373917,-76.53903,3.373917,-76.53903,848.0,didi,didi,UNICENTRO CALI,2023-05-01,6056.0
26,3.465128,-76.500496,3.465128,-76.500496,400.0,app,Android,UNICO CALI,2023-05-01,3638.0
26,3.465128,-76.500496,3.465128,-76.500496,1708.0,ifood,MARKETIFOOD,UNICO CALI,2023-05-01,13135.0
158,3.434722,-76.541968,3.434722,-76.541968,723.0,didi,didi,SAN FERNANDO,2023-05-01,5162.0
158,3.434722,-76.541968,3.434722,-76.541968,554.0,app,Android,SAN FERNANDO,2023-05-01,5039.0
61,3.465173,-76.530913,3.465173,-76.530913,1434.0,tictuk,TICTUK,AV SEXTA,2023-05-01,11954.0
45,3.419646,-76.539767,3.419646,-76.539767,414.0,callcenter,CallCenter,PALMETTO PLAZA,2023-05-01,4142.0
37,3.425126,-76.540525,3.425126,-76.540525,1002.0,web,Web,ROOSEVELT,2023-05-01,10015.0
60,3.476362,-76.527899,3.476362,-76.527899,448.0,rappi,Rappi,CHIPICHAPE,2023-05-01,3091.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,1691.0,rappi,Rappi,CIUDAD CORDOBA,2023-05-01,11661.0
37,3.425126,-76.540525,3.425126,-76.540525,1311.0,app,Ios,ROOSEVELT,2023-05-01,11917.0
134,3.369237,-76.527519,3.369237,-76.527519,1467.0,rappi,Rappi,JARDIN PLAZA,2023-05-01,10114.0
163,3.4126302,-76.5286968,3.4126302,-76.5286968,1643.0,ifood,Marketifood,PASO ANCHO ,2023-05-01,12638.0
61,3.465173,-76.530913,3.465173,-76.530913,1130.0,rappi,Rappi,AV SEXTA,2023-05-01,7795.0
61,3.465173,-76.530913,3.465173,-76.530913,705.0,didi,didi,AV SEXTA,2023-05-01,5035.0
26,3.465128,-76.500496,3.465128,-76.500496,518.0,rappi,Rappi,UNICO CALI,2023-05-01,3573.0
37,3.425126,-76.540525,3.425126,-76.540525,492.0,callcenter,CallCenter,ROOSEVELT,2023-05-01,4918.0
27,3.373917,-76.53903,3.373917,-76.53903,1814.0,rappi,Rappi,UNICENTRO CALI,2023-05-01,12509.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,1184.0,web,Web,CIUDAD CORDOBA,2023-05-01,11842.0
134,3.369237,-76.527519,3.369237,-76.527519,482.0,web,Web,JARDIN PLAZA,2023-05-01,4818.0
115,3.384993,-76.52411,3.384993,-76.52411,399.0,callcenter,CallCenter,CANEY,2023-05-01,3987.0
45,3.419646,-76.539767,3.419646,-76.539767,583.0,didi,didi,PALMETTO PLAZA,2023-05-01,4167.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,1448.0,app,Ios,CIUDAD CORDOBA,2023-05-01,13168.0
158,3.434722,-76.541968,3.434722,-76.541968,484.0,web,Web,SAN FERNANDO,2023-05-01,4835.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,654.0,ifood,MARKETPLACE,CIUDAD CORDOBA,2023-05-01,5032.0
149,3.465755,-76.521846,3.465755,-76.521846,1595.0,didi,didi,TERMINAL CAL,2023-05-01,11390.0
163,3.4126302,-76.5286968,3.4126302,-76.5286968,1568.0,tictuk,TICTUK,PASO ANCHO ,2023-05-01,13070.0
45,3.419646,-76.539767,3.419646,-76.539767,469.0,didi,didi,PALMETTO PLAZA,2023-05-01,3353.0
37,3.425126,-76.540525,3.425126,-76.540525,592.0,didi,didi,ROOSEVELT,2023-05-01,4231.0
27,3.373917,-76.53903,3.373917,-76.53903,94.0,didi,didi,UNICENTRO CALI,2023-05-01,670.0
149,3.465755,-76.521846,3.465755,-76.521846,12.0,app,Ios,TERMINAL CAL,2023-05-01,113.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,1351.0,app,Ios,CIUDAD CORDOBA,2023-05-01,12286.0
134,3.369237,-76.527519,3.369237,-76.527519,506.0,app,Android,JARDIN PLAZA,2023-05-01,4603.0
61,3.465173,-76.530913,3.465173,-76.530913,116.0,ifood,MARKETPLACE,AV SEXTA,2023-05-01,890.0
134,3.369237,-76.527519,3.369237,-76.527519,1360.0,web,Web,JARDIN PLAZA,2023-05-01,13604.0
27,3.373917,-76.53903,3.373917,-76.53903,1229.0,ifood,MARKETPLACE,UNICENTRO CALI,2023-05-01,9457.0
27,3.373917,-76.53903,3.373917,-76.53903,1234.0,web,Web,UNICENTRO CALI,2023-05-01,12343.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,397.0,callcenter,CallCenter,CIUDAD CORDOBA,2023-05-01,3973.0
133,3.41587,-76.540117,3.41587,-76.540117,463.0,callcenter,CallCenter,COSMOCENTRO,2023-05-01,4632.0
26,3.465128,-76.500496,3.465128,-76.500496,1728.0,didi,didi,UNICO CALI,2023-05-01,12343.0
133,3.41587,-76.540117,3.41587,-76.540117,462.0,ifood,MARKETPLACE,COSMOCENTRO,2023-05-01,3550.0
158,3.434722,-76.541968,3.434722,-76.541968,177.0,rappi,Rappi,SAN FERNANDO,2023-05-01,1220.0
115,3.384993,-76.52411,3.384993,-76.52411,426.0,callcenter,CallCenter,CANEY,2023-05-01,4258.0
163,3.4126302,-76.5286968,3.4126302,-76.5286968,524.0,web,Web,PASO ANCHO ,2023-05-01,5242.0
61,3.465173,-76.530913,3.465173,-76.530913,11.0,didi,didi,AV SEXTA,2023-05-01,81.0
149,3.465755,-76.521846,3.465755,-76.521846,1651.0,ifood,MARKETIFOOD,TERMINAL CAL,2023-05-01,12700.0
158,3.434722,-76.541968,3.434722,-76.541968,1101.0,app,Android,SAN FERNANDO,2023-05-01,10008.0
163,3.4126302,-76.5286968,3.4126302,-76.5286968,489.0,callcenter,CallCenter,PASO ANCHO ,2023-05-01,4887.0
61,3.465173,-76.530913,3.465173,-76.530913,1504.0,ifood,Marketifood,AV SEXTA,2023-05-01,11569.0
158,3.434722,-76.541968,3.434722,-76.541968,525.0,rappi,Rappi,SAN FERNANDO,2023-05-01,3620.0
149,3.465755,-76.521846,3.465755,-76.521846,638.0,didi,didi,TERMINAL CAL,2023-05-01,4559.0
134,3.369237,-76.527519,3.369237,-76.527519,59.0,ifood,MARKETPLACE,JARDIN PLAZA,2023-05-01,457.0
27,3.373917,-76.53903,3.373917,-76.53903,1162.0,app,Ios,UNICENTRO CALI,2023-05-01,10565.0
37,3.425126,-76.540525,3.425126,-76.540525,714.0,didi,didi,ROOSEVELT,2023-05-01,5102.0
115,3.384993,-76.52411,3.384993,-76.52411,49.0,didi,didi,CANEY,2023-05-01,351.0
133,3.41587,-76.540117,3.41587,-76.540117,531.0,rappi,Rappi,COSMOCENTRO,2023-05-01,3663.0
149,3.465755,-76.521846,3.465755,-76.521846,570.0,app,Android,TERMINAL CAL,2023-05-01,5184.0
45,3.419646,-76.539767,3.419646,-76.539767,525.0,ifood,Marketifood,PALMETTO PLAZA,2023-05-01,4042.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,1333.0,ifood,MARKETPLACE,CIUDAD CORDOBA,2023-05-01,10253.0
115,3.384993,-76.52411,3.384993,-76.52411,863.0,didi,didi,CANEY,2023-05-01,6164.0
134,3.369237,-76.527519,3.369237,-76.527519,703.0,didi,didi,JARDIN PLAZA,2023-05-02,5023.0
27,3.373917,-76.53903,3.373917,-76.53903,492.0,didi,didi,UNICENTRO CALI,2023-05-02,3511.0
26,3.465128,-76.500496,3.465128,-76.500496,567.0,callcenter,CallCenter,UNICO CALI,2023-05-02,5666.0
133,3.41587,-76.540117,3.41587,-76.540117,78.0,tictuk,TICTUK,COSMOCENTRO,2023-05-02,650.0
149,3.465755,-76.521846,3.465755,-76.521846,460.0,callcenter,CallCenter,TERMINAL CAL,2023-05-02,4596.0
60,3.476362,-76.527899,3.476362,-76.527899,685.0,rappi,Rappi,CHIPICHAPE,2023-05-02,4721.0
115,3.384993,-76.52411,3.384993,-76.52411,477.0,web,Web,CANEY,2023-05-02,4774.0
134,3.369237,-76.527519,3.369237,-76.527519,625.0,tictuk,TICTUK,JARDIN PLAZA,2023-05-02,5208.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,137.0,tictuk,TICTUK,CIUDAD CORDOBA,2023-05-02,1142.0
45,3.419646,-76.539767,3.419646,-76.539767,799.0,app,Android,PALMETTO PLAZA,2023-05-02,7261.0
60,3.476362,-76.527899,3.476362,-76.527899,2.0,rappi,Rappi,CHIPICHAPE,2023-05-02,14.0
149,3.465755,-76.521846,3.465755,-76.521846,396.0,callcenter,CallCenter,TERMINAL CAL,2023-05-02,3956.0
115,3.384993,-76.52411,3.384993,-76.52411,1900.0,didi,didi,CANEY,2023-05-02,13572.0
133,3.41587,-76.540117,3.41587,-76.540117,504.0,didi,didi,COSMOCENTRO,2023-05-02,3603.0
45,3.419646,-76.539767,3.419646,-76.539767,1738.0,didi,didi,PALMETTO PLAZA,2023-05-02,12411.0
