cod_trans,cod_rest,fecha_trans,valor_trans,latitud,longitud,canal,medio,comision
0000895279-010401,26,2022-08-20,48300,3.4819716,-76.4989,App,Android,5313.0
0000895477-010401,26,2022-08-20,54800,3.4699857,-76.4912109,App,Android,6028.0
0000047352-074602,26,2022-08-20,23800,3.4682002,-76.5024431,CallCenter,CallCenter,2380.0
0000047531-074602,26,2022-08-20,32800,3.4827293,-76.5041971,CallCenter,CallCenter,3280.0
0000047569-074602,26,2022-08-20,45200,3.4813932,-76.5040197,CallCenter,CallCenter,4520.0
0000047607-074602,26,2022-08-20,45800,3.4633849,-76.4992087,CallCenter,CallCenter,4580.0
KFCCO187246994,26,2022-08-20,60500,3.479411,-76.499466,Web,Web,6050.0
0000895950-010401,26,2022-08-20,58000,3.4677093,-76.5062958,App,Android,6380.0
16432819_tt,26,2022-08-21,34800,3.4628765,-76.5077676,TICTUK,TICTUK,4176.0
0000896209-010401,26,2022-08-21,34600,3.4677422,-76.4932975,App,Android,3806.0
16437516_tt,26,2022-08-21,29100,3.4637288,-76.5096887,TICTUK,TICTUK,3492.0
0000894895-010401,26,2022-08-19,24800,3.4734465567794,-76.4959920756519,App,Android,2728.0
16381735_tt,26,2022-08-19,24800,3.4660746,-76.4883586,TICTUK,TICTUK,2976.0
KFCCO990978763,26,2022-08-19,63500,3.481231,-76.49154,Web,Web,6350.0
16387769_tt,26,2022-08-19,24800,3.471485,-76.4963514,TICTUK,TICTUK,2976.0
0000895029-010401,26,2022-08-19,21800,3.4906129,-76.499082,App,Android,2398.0
0000895046-010401,26,2022-08-19,68700,3.4817608177687,-76.496917437762,App,Android,7557.0
16388579_tt,26,2022-08-19,19800,3.4692706,-76.5112587,TICTUK,TICTUK,2376.0
0000895127-010401,26,2022-08-19,26800,3.4647961,-76.5073632,App,Ios,2948.0
0000895307-010401,26,2022-08-20,54800,3.4699677574007,-76.5064148046076,App,Android,6028.0
KFCCO064549421,26,2022-08-20,89700,3.477863,-76.50257,Web,Web,8970.0
0000895695-010401,26,2022-08-20,66800,3.4681032,-76.5078306,App,Android,7348.0
0000998835-010401,26,2022-12-23,84800,3.4657156,-76.4928099,App,Android,9328.0
KFCCO501938062,26,2022-12-23,39800,3.475203,-76.499924,Web,Web,3980.0
20719087_tt,26,2022-12-23,21800,3.463271,-76.4994162,TICTUK,TICTUK,2616.0
KFCCO047879747,26,2022-12-24,49700,3.475167,-76.5009,Web,Web,4970.0
0000999577-010401,26,2022-12-24,36700,3.4747437068222067,-76.4888453297317,App,Android,4037.0
0000998432-010401,26,2022-12-22,23800,3.4822626,-76.5038318,App,Android,2618.0
0000085060-074602,26,2022-12-22,29800,3.3840619,-76.5415581,CallCenter,CallCenter,2980.0
0000085171-074602,26,2022-12-23,67700,3.456182,-76.4884771,CallCenter,CallCenter,6770.0
0000998742-010401,26,2022-12-22,27800,3.4725771160989,-76.4939438737929,App,Android,3058.0
KFCCO709741926,26,2022-12-23,48700,3.465902,-76.492805,Web,Web,4870.0
KFCCO208238065,26,2022-12-23,51800,3.479459,-76.491379,Web,Web,5180.0
KFCCO752388599,26,2022-12-23,47800,3.461778,-76.508553,Web,Web,4780.0
0000085366-074602,26,2022-12-23,53300,3.4516467,-76.5319854,CallCenter,CallCenter,5330.0
0000085432-074602,26,2022-12-24,42700,3.4739814,-76.4921726,CallCenter,CallCenter,4270.0
0000085448-074602,26,2022-12-24,47800,3.4749685,-76.4950338,CallCenter,CallCenter,4780.0
0000997856-010401,26,2022-12-21,35400,3.4672145646611963,-76.49470830336213,App,Android,3894.0
0000997934-010401,26,2022-12-21,37800,3.4806171,-76.5071266,App,Android,4158.0
0000997955-010401,26,2022-12-21,17800,3.4822626,-76.5038318,App,Android,1958.0
0000998195-010401,26,2022-12-22,58800,3.478124396193,-76.4939921535552,App,Android,6468.0
0000998452-010401,26,2022-12-22,23800,3.480919822613,-76.4948417432606,App,Android,2618.0
0000998463-010401,26,2022-12-22,47800,3.4709447052438,-76.4955786801875,App,Android,5258.0
KFCCO976638046,26,2022-12-22,48700,3.466574,-76.486153,Web,Web,4870.0
16382785_tt,26,2022-08-19,54800,3.4865883,-76.5006032,TICTUK,TICTUK,6576.0
16385975_tt,26,2022-08-19,34800,3.4847244,-76.4944089,TICTUK,TICTUK,4176.0
16386744_tt,26,2022-08-19,21800,3.4865883,-76.5006032,TICTUK,TICTUK,2616.0
16393568_tt,26,2022-08-19,24800,3.4671781,-76.4914388,TICTUK,TICTUK,2976.0
16394783_tt,26,2022-08-19,24800,3.4701659,-76.4881676,TICTUK,TICTUK,2976.0
KFCCO691744781,26,2022-08-17,36800,3.470007,-76.514786,Web,Web,3680.0
0000894027-010401,26,2022-08-17,20800,3.4628883,-76.5064786,App,Android,2288.0
16339516_tt,26,2022-08-17,21800,3.4865883,-76.5006032,TICTUK,TICTUK,2616.0
KFCCO185987120,26,2022-08-18,22600,3.458719,-76.51264,Web,Web,2260.0
KFCCO733252134,26,2022-08-18,45800,3.473298,-76.49463,Web,Web,4580.0
16363700_tt,26,2022-08-18,69800,3.4638331,-76.4859746,TICTUK,TICTUK,8376.0
0000894514-010401,26,2022-08-18,21800,3.4906129,-76.499082,App,Android,2398.0
0000046992-074602,26,2022-08-19,40300,3.4748998,-76.4980849,CallCenter,CallCenter,4030.0
0000894690-010401,26,2022-08-19,54800,3.4824942,-76.5039972,App,Android,6028.0
21182534_tt,26,2023-01-04,61600,3.4586074,-76.51783619999999,TICTUK,TICTUK,7392.0
21182698_tt,26,2023-01-04,34900,3.4541517,-76.5115101,TICTUK,TICTUK,4188.0
0001009299-010401,26,2023-01-04,36200,3.4758638,-76.5024447,App,Android,3982.0
KFCCO523577281,26,2023-01-04,54800,3.476077,-76.499939,Web,Web,5480.0
0000088794-074602,26,2023-01-05,100300,3.4676925,-76.5166085,CallCenter,CallCenter,10030.0
