FECHA_VENTA,DIA_COMERCIAL,CIUDAD,DEPARTAMENTO,TIPO,MARCA,VALOR_TOTAL
2021-06-01,1,VERGARA,CUNDINAMARCA,TELEFONO,MOTOROLA,688520.0
2021-06-02,0,POPAYAN,CAUCA,TELEFONO,SAMSUNG,1359570.0
2021-06-02,0,LA MACARENA,META,TELEFONO,SAMSUNG,795520.0
2021-06-01,1,DURANIA,NORTE DE SANTANDER,TELEFONO,MOTOROLA,768520.0
2021-06-01,1,YARUMAL,ANTIOQUIA,TELEFONO,MOTOROLA,768520.0
2021-06-03,0,NEIVA,HUILA,TELEFONO,SAMSUNG,679520.0
2021-06-01,1,SOPLAVIENTO,BOLIVAR,TELEFONO,MOTOROLA,768520.0
2021-06-02,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,2608570.0
2021-06-01,1,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,XIAOMI,795520.0
2021-06-01,1,CHIA,CUNDINAMARCA,TELEFONO,MOTOROLA,688520.0
2021-06-01,1,POPAYAN,CAUCA,TELEFONO,XIAOMI,1633520.0
2021-06-01,1,POPAYAN,CAUCA,TELEFONO,SAMSUNG,795520.0
2021-06-01,1,BUCARAMANGA,SANTANDER,TELEFONO,XIAOMI,795520.0
2021-06-03,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,LG,604520.0
2021-06-22,1,SEVILLA,VALLE DEL CAUCA,TELEFONO,SAMSUNG,795520.0
2021-06-05,1,SEGOVIA,ANTIOQUIA,TELEFONO,XIAOMI,795520.0
2021-06-01,1,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,LG,617520.0
2021-06-01,1,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,MOTOROLA,688520.0
2021-06-01,1,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,795520.0
2021-06-01,1,TUQUERRES,NARIÃO,TELEFONO,XIAOMI,795519.0
2021-06-02,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,795520.0
2021-06-01,1,MONTERIA,CORDOBA,TELEFONO,SAMSUNG,1150571.0
2021-06-01,1,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,MOTOROLA,688520.0
2021-06-01,1,PEREIRA,RISARALDA,TELEFONO,XIAOMI,795520.0
2021-06-09,0,PACHAVITA,BOYACA,TELEFONO,MOTOROLA,688520.0
2021-06-09,0,BARRANQUILLA,ATLANTICO,TELEFONO,MOTOROLA,699520.0
2021-06-01,1,MONTERIA,CORDOBA,TELEFONO,SAMSUNG,679520.0
2021-06-01,1,CURUMANI,CESAR,TELEFONO,XIAOMI,795520.0
2021-06-01,1,YUMBO,VALLE DEL CAUCA,TELEFONO,MOTOROLA,688520.0
2021-06-01,1,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,679520.0
2021-06-02,0,GRANADA,META,TELEFONO,XIAOMI,795520.0
2021-06-01,1,ITAGUI,ANTIOQUIA,TELEFONO,XIAOMI,393520.0
2021-06-01,1,SANTA MARTA,MAGDALENA,TELEFONO,SAMSUNG,795520.0
2021-06-01,1,JAMUNDI,VALLE DEL CAUCA,TELEFONO,SAMSUNG,795520.0
2021-06-01,1,MONTERIA,CORDOBA,TELEFONO,SAMSUNG,795520.0
2021-06-01,1,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,MOTOROLA,708520.0
2021-06-03,0,CHAPARRAL,TOLIMA,TELEFONO,MOTOROLA,768520.0
2021-06-02,0,CALI,VALLE DEL CAUCA,TELEFONO,SAMSUNG,1938570.0
2021-06-02,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,LG,617520.0
2021-06-01,1,JAMUNDI,VALLE DEL CAUCA,TELEFONO,SAMSUNG,1064520.0
2021-06-01,1,LA PRIMAVERA,VICHADA,TELEFONO,MOTOROLA,688520.0
2021-06-09,0,SANTANDER DE QUILICHAO,CAUCA,TELEFONO,MOTOROLA,768520.0
2021-06-01,1,MEDELLIN,ANTIOQUIA,TELEFONO,SAMSUNG,795520.0
2021-06-01,1,NEIVA,HUILA,TELEFONO,MOTOROLA,768520.0
2021-06-01,1,JAMUNDI,VALLE DEL CAUCA,TELEFONO,XIAOMI,795520.0
2021-06-01,1,PUERTO BERRIO,ANTIOQUIA,TELEFONO,MOTOROLA,636520.0
2021-06-02,0,CHITARAQUE,BOYACA,TELEFONO,MOTOROLA,688520.0
2021-06-01,1,BARRANCABERMEJA,SANTANDER,TELEFONO,XIAOMI,795520.0
2021-06-01,1,TURBO,ANTIOQUIA,TELEFONO,MOTOROLA,688520.0
